"id","name","officialname","image","addressline1","addressline2","addressline3","tel","website","foundedon","colors","stadiumname","stadiumseats","currenttransferrecord","currentmarketvalue","squad_size","squad_averageage","squad_foreigners","squad_nationalteamplayers","competition_id"
"209","CA River Plate","Club Atlético River Plate","https://tmssl.akamaized.net//images/wappen/big/209.png","Avenida Presidente José Figueroa Alcorta","1428 Ciudad Autónoma de Buenos Aires","Argentina","+54 11 47881200","www.cariverplate.com.ar","1901-05-25","{#FFFFFF,#FF0000,#FFFFFF}","Mâs Monumental",85018,"-10560000","86250000",31,"28.1",6,8,"ARG1"
"189","CA Boca Juniors","Club Atlético Boca Juniors","https://tmssl.akamaized.net//images/wappen/big/189.png","Brandsen 805","C1161AAQ Buenos Aires","Argentina","+54 11 43094700","www.bocajuniors.com.ar","1905-04-03","{#0c41ab,#ffee00}","Alberto J. Armando",54000,"13360000","83550000",34,"28.4",8,3,"ARG1"
"1444","Racing Club","Racing Club Asociación Civil de Avellaneda","https://tmssl.akamaized.net//images/wappen/big/1444.png","Avenida Presidente Bartolomé Mitre 934","1870 Avellaneda, Buenos Aires","Argentina","+54 11 42011661","www.racingclub.com.ar","1903-03-25","{#00B3FF,#FFFFFF}","Presidente Perón",55000,"-8400000","77230000",33,"27.1",6,1,"ARG1"
"1234","CA Independiente","Club Atlético Independiente de Avellaneda","https://tmssl.akamaized.net//images/wappen/big/1234.png","Avenida Mitre 470","1870 Avellaneda, Buenos Aires","Argentina","+54 11 42221566","clubaindependiente.com","1905-01-01","{#F00303}","Libertadores de América-Ricardo Enrique Bochini",48069,"-946000","56950000",27,"27.1",7,6,"ARG1"
"1029","CA Vélez Sarsfield","Club Atlético Vélez Sársfield","https://tmssl.akamaized.net//images/wappen/big/1029.png","Avenida Juan B. Justo 9200","1408 Buenos Aires","Argentina","+54 11 46415663","www.velezsarsfield.com.ar","1910-01-01","{#FFFFFF,#2342DB}","José Amalfitani",49747,"-3920000","55030000",32,"26.4",5,3,"ARG1"
"288","Club Estudiantes de La Plata","Club Estudiantes de La Plata","https://tmssl.akamaized.net//images/wappen/big/288.png","Av. 53 nº 620","B1900 La Plata, Buenos Aires","Argentina","+54 (221) 4255716","www.estudiantesdelaplata.com","1905-08-04","{#de1d23,#ffffff}","Jorge Luis Hirschi",32530,"-6410000","46580000",28,"27.4",5,1,"ARG1"
"1418","CA Rosario Central","Club Atlético Rosario Central","https://tmssl.akamaized.net//images/wappen/big/1418.png","Mitre 853","2000 Rosario, Santa Fe","Argentina","+54 34 4724071","www.rosariocentral.com","1889-12-24","{#0000FF,#FFFF00,#FFFFFF}","Gigante de Arroyito",46755,"-374000","39400000",27,"26.7",5,2,"ARG1"
"3938","CA Talleres","Club Atlético Talleres","https://tmssl.akamaized.net//images/wappen/big/3938.png","","5000 Córdoba","Argentina","","www.clubtalleres.com.ar","1913-10-12","{#FFFFFF,#092178}","Mario Alberto Kempes",57000,"-995000","38950000",26,"26.7",8,3,"ARG1"
"1030","AA Argentinos Juniors","Asociación Atlética Argentinos Juniors","https://tmssl.akamaized.net//images/wappen/big/1030.png","Punta Arenas 1271","1427 Buenos Aires","Argentina","+54 (11) 45516887","www.argentinosjuniors.com.ar","1904-08-15","{#c92f34,#FFFFFF,#c92f34}","Diego Armando Maradona",22063,"7650000","37380000",31,"26.5",4,0,"ARG1"
"1775","CA San Lorenzo de Almagro","Club Atlético San Lorenzo de Almagro","https://tmssl.akamaized.net//images/wappen/big/1775.png","Avenida la Plata 1794","Buenos Aires","Argentina","+54 11 5263-4600","sanlorenzo.com.ar","1908-04-01","{#EC1E2A,#FFFFFF,#163756}","Pedro Bidegain",47964,"15010000","35080000",28,"25.1",4,2,"ARG1"
